Street,From,To,Date,Time,Real.Spots,Street.Length,any_spot
Polk Street,Turk Street,Elm Street,3/27/2014,14:49,0,52.597584,0
Pine Street,Larkin Street,Polk Street,3/27/2014,16:05,0,146.41655,0
Pine Street,Larkin Street,Polk Street,3/27/2014,16:46,1,146.41655,1
Pine Street,Polk Street,Van Ness Avenue,3/27/2014,16:46,0,139.4942,0
Pine Street,Polk Street,Van Ness Avenue,3/27/2014,18:48,0,139.4942,0
Taylor Street,Sutter Street,Bush Street,3/27/2014,14:55,0,105.05199,0
Stockton Street,Stockton Street,Jackson Street,3/27/2014,13:14,0,84.28298,0
Kearny Street,Kearny Street,Sutter Street,3/27/2014,15:47,0,41.051586,0
Kearny Street,Kearny Street,Columbus Avenue,3/27/2014,15:49,0,55.823406,0
Sutter Street,Powell Street,Sutter Street,3/27/2014,14:04,0,103.21066,0
Leavenworth Street,Turk Street,Eddy Street,3/27/2014,13:04,0,104.82981,0
Montgomery Street,Montgomery Street,Jackson Street,3/27/2014,15:51,0,28.596806,0
Montgomery Street,Verdi Place,Pacific Avenue,3/27/2014,15:51,0,66.27028,0
Montgomery Street,Verdi Place,Broadway,3/27/2014,15:51,0,37.796173,0
Stockton Street,Stockton Tunnel,Stockton Street,3/27/2014,15:45,0,35.786472,0
Polk Street,Clay Street,Washington Street,3/27/2014,16:15,0,98.98388,0
Polk Street,Clay Street,Washington Street,3/27/2014,18:45,1,98.98388,1
Polk Street,Jackson Street,Washington Street,3/27/2014,16:14,3,98.40858,1
Polk Street,Jackson Street,Washington Street,3/27/2014,16:55,0,98.40858,0
Polk Street,Jackson Street,Washington Street,3/27/2014,18:43,0,98.40858,0
Post Street,Kearny Street,Post Street,3/27/2014,14:11,0,104.36296,0
Van Ness Avenue,Pacific Avenue,Broadway,3/27/2014,15:56,4,104.314545,1
Van Ness Avenue,Pacific Avenue,Broadway,3/27/2014,17:13,0,104.314545,0
Van Ness Avenue,Pacific Avenue,Broadway,3/27/2014,18:51,0,104.314545,0
Washington Street,Van Ness Avenue,Polk Street,3/27/2014,16:57,4,139.37155,1
Washington Street,Polk Street,Larkin Street,3/27/2014,16:58,1,146.47252,1
Jackson Street,Polk Street,Van Ness Avenue,3/27/2014,16:55,4,139.32397,1
Hyde Street,Golden Gate Avenue,McAllister Street,3/27/2014,14:38,0,105.14411,0
Grove Street,Dr Carlton P Goodlett Place,Larkin Street,3/27/2014,14:48,0,145.29704,0
Taylor Street,O'Farrell Street,Geary Street,3/27/2014,14:54,0,104.98754,0
Montgomery Street,Washington Street,Montgomery Street,3/27/2014,15:51,2,39.439125,1
Montgomery Street,Jackson Street,Montgomery Street,3/27/2014,15:51,3,62.230865,1
Larkin Street,McAllister Street,Fulton Street,3/27/2014,14:39,0,102.83145,0
Kearny Street,Hardie Place,Bush Street,3/27/2014,15:47,0,54.379284,0
Mason Street,Sutter Street,Mason Street,3/27/2014,15:34,0,53.208504,0
Polk Street,Bonita Street,Vallejo Street,3/27/2014,16:12,0,53.127136,0
Polk Street,Bonita Street,Vallejo Street,3/27/2014,18:40,0,53.127136,0
Polk Street,Bonita Street,Green Street,3/27/2014,16:12,0,51.76525,0
Polk Street,Bonita Street,Green Street,3/27/2014,18:40,0,51.76525,0
Sutter Street,Mason Street,Taylor Street,3/27/2014,14:04,0,146.40962,0
Washington Street,Hotaling Street,Columbus Avenue,3/27/2014,13:21,0,51.84337,0
Pine Street,Montgomery Street,Kearny Street,3/27/2014,13:48,0,146.75189,0
Bush Street,Taylor Street,Mason Street,3/27/2014,13:53,0,146.52574,0
Jones Street,Sutter Street,Jones Street,3/27/2014,14:05,0,72.91717,0
Kearny Street,Nottingham Place,Broadway,3/27/2014,15:50,1,51.50119,1
Polk Street,Ellis Street,Olive Street,3/28/2014,19:58,0,52.74021,0
Polk Street,Ellis Street,Olive Street,3/28/2014,20:32,0,52.74021,0
Polk Street,Ellis Street,Olive Street,3/28/2014,21:48,0,52.74021,0
Polk Street,Alice B. Toklas Place,O'Farrell Street,3/28/2014,19:57,0,52.3586,0
Polk Street,Alice B. Toklas Place,O'Farrell Street,3/28/2014,20:31,0,52.3586,0
Polk Street,Alice B. Toklas Place,O'Farrell Street,3/28/2014,21:47,0,52.3586,0
Leavenworth Street,Eddy Street,Ellis Street,3/28/2014,19:11,2,104.76384,1
Leavenworth Street,Eddy Street,Ellis Street,3/28/2014,21:56,4,104.76384,1
Jones Street,Ellis Street,Eddy Street,3/28/2014,19:19,0,104.76797,0
Jones Street,Ellis Street,Eddy Street,3/28/2014,22:03,1,104.76797,1
Van Ness Avenue,Post Street,Hemlock Street,3/28/2014,19:52,0,52.505486,0
Van Ness Avenue,Post Street,Hemlock Street,3/28/2014,21:03,0,52.505486,0
Geary Street,Jones Street,Geary Street,3/28/2014,20:53,0,109.843506,0
Van Ness Avenue,Geary Boulevard,Myrtle Street,3/28/2014,21:25,0,52.51784,0
Van Ness Avenue,Van Ness Avenue,Eddy Street,3/28/2014,21:26,1,52.74427,1
Van Ness Avenue,Van Ness Avenue,Turk Street,3/28/2014,21:26,4,52.836143,1
Van Ness Avenue,Bush Street,Austin Street,3/28/2014,19:53,0,52.384674,0
Van Ness Avenue,O'Farrell Street,Alice B. Toklas Place,3/28/2014,19:51,0,52.317448,0
Van Ness Avenue,Bush Street,Fern Street,3/28/2014,21:25,0,52.405315,0
Van Ness Avenue,Daniel Burnham Court,Post Street,3/28/2014,21:25,0,52.191193,0
Post Street,Larkin Street,Meacham Place,3/28/2014,21:09,0,116.305824,0
Mission Street,Julia Street,Angelo's Alley,3/28/2014,21:52,0,26.680704,0
Mission Street,6th Street,7th Street,3/28/2014,21:52,0,276.52966,0
Polk Street,Turk Street,Elm Street,3/28/2014,19:59,0,52.597584,0
Polk Street,Turk Street,Elm Street,3/28/2014,20:32,0,52.597584,0
Polk Street,Turk Street,Elm Street,3/28/2014,21:48,3,52.597584,1
Larkin Street,Cedar Street,Post Street,3/28/2014,19:26,0,52.32425,0
Larkin Street,Cedar Street,Post Street,3/28/2014,21:44,0,52.32425,0
Geary Street,Larkin Street,Polk Street,3/28/2014,20:30,0,146.40805,0
Pine Street,Larkin Street,Polk Street,3/28/2014,21:24,0,146.41655,0
Pine Street,Polk Street,Van Ness Avenue,3/28/2014,21:24,0,139.4942,0
Van Ness Avenue,Van Ness Avenue,Grove Street,3/28/2014,21:34,0,52.04572,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,3/28/2014,21:33,0,154.60497,0
Van Ness Avenue,Van Ness Avenue,Grove Street,3/28/2014,20:06,0,43.249866,0
Taylor Street,Sutter Street,Bush Street,3/28/2014,16:49,0,105.05199,0
Taylor Street,Sutter Street,Bush Street,3/28/2014,18:58,0,105.05199,0
Larkin Street,O'Farrell Street,Larkin Street,3/28/2014,19:25,0,52.4134,0
Larkin Street,O'Farrell Street,Larkin Street,3/28/2014,20:30,0,52.4134,0
Larkin Street,O'Farrell Street,Larkin Street,3/28/2014,21:44,0,52.4134,0
Larkin Street,Myrtle Street,Geary Street,3/28/2014,19:25,2,52.188343,1
Larkin Street,Myrtle Street,Geary Street,3/28/2014,20:30,0,52.188343,0
Larkin Street,Myrtle Street,Geary Street,3/28/2014,21:44,1,52.188343,1
Grove Street,Dr Carlton P Goodlett Place,Van Ness Avenue,3/28/2014,20:06,1,140.25523,1
Larkin Street,Larkin Street,Golden Gate Avenue,3/28/2014,19:23,0,95.939,0
Larkin Street,Larkin Street,Golden Gate Avenue,3/28/2014,20:11,0,95.939,0
Larkin Street,Larkin Street,Golden Gate Avenue,3/28/2014,21:43,0,95.939,0
Geary Street,Leavenworth Street,Hyde Street,3/28/2014,20:54,0,146.58632,0
Redwood Street,Polk Street,Van Ness Avenue,3/28/2014,20:36,2,139.46687,1
Sutter Street,Powell Street,Sutter Street,3/28/2014,21:12,0,103.21066,0
Polk Street,Grove Street,Dr Tom Waddell Place,3/28/2014,20:00,0,58.041042,0
Polk Street,Grove Street,Dr Tom Waddell Place,3/28/2014,20:33,0,58.041042,0
Van Ness Avenue,Van Ness Avenue,Fell Street,3/28/2014,21:35,2,40.67155,1
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,3/28/2014,21:33,0,63.262,0
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,3/28/2014,21:28,0,44.81567,0
Van Ness Avenue,Van Ness Avenue,Bush Street,3/28/2014,21:24,0,39.027992,0
Larkin Street,Sutter Street,Larkin Street,3/28/2014,19:27,0,48.555763,0
Larkin Street,Sutter Street,Larkin Street,3/28/2014,21:44,0,48.555763,0
Leavenworth Street,Turk Street,Eddy Street,3/28/2014,19:10,5,104.82981,1
Leavenworth Street,Turk Street,Eddy Street,3/28/2014,21:56,3,104.82981,1
